probe,sig_Om,sig_S8,sig_w0,area_Om_S8,area_Om_w0,corr_Om_w0,FoM6,n_feat,hartlap
PS l100-1024 (paper),0.008879556403,0.021279945,0.09187508343,0.0003116285364,0.002417634556,-0.3319295086,2351846779,70,0.6432160804
PS l37-1024 (recovered),0.008330542488,0.01655435672,0.07050266696,0.0002146123967,0.001837151183,-0.09293935151,4543670938,90,0.5427135678
l1 scales1234,0.006851210615,0.00887742287,0.03308194269,6.656710361e-05,0.0004772188887,0.7421735688,3.777948122e+11,73,0.6281407035
peaks scales1234,0.01103239929,0.01601435805,0.05054942966,0.0001957166717,0.001618860909,0.3823849583,1.213181944e+10,80,0.5929648241
