contour,n_seeds,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,sigma_Om_pooled,sigma_S8_pooled,sigma_w0_pooled,runs
2000,7,30907,33559.5,3610.94,0.0226223,0.0323017,0.115443,1 2 3 6 7 9 10
5000,7,120575,143166,13549.3,0.0155607,0.0217756,0.0818685,1 3 4 5 6 7 9
10000,9,250582,317527,60747.2,0.0129499,0.0181581,0.0680903,1 2 3 4 5 6 7 9 10
14000,7,402823,470796,76096.5,0.0116838,0.0161893,0.0621395,2 4 5 6 7 9 10
28000,10,74591.8,1.06027e+06,387990,0.0090407,0.0132261,0.369575,1 2 3 4 5 6 7 8 9 10
35000,10,138526,1.27999e+06,467382,0.00849734,0.0117128,0.211723,1 2 3 4 5 6 7 8 9 10
