contour,n_seeds,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,sigma_Om_pooled,sigma_S8_pooled,sigma_w0_pooled,runs
2000,5,26322.3,27249.6,2217.88,0.0328187,0.0623795,0.126871,1 2 3 4 5
5000,5,87600.5,90515.3,7768.48,0.0216172,0.0400968,0.10217,1 2 3 4 5
10000,5,217886,229219,22565.6,0.0157295,0.0284836,0.0866916,1 2 3 4 5
14000,4,308995,343758,29922.7,0.0135289,0.0240982,0.0776982,1 3 4 5
28000,10,649547,716572,77550.9,0.0105043,0.0187906,0.0626943,1 2 3 4 5 6 7 8 9 10
35000,4,874094,965766,155262,0.00932945,0.017065,0.0591357,1 2 4 5
fullsky,5,1.10389e+06,1.39149e+06,378651,0.00766962,0.0142539,0.0480604,1 2 3 4 5
