contour,n_seeds,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,sigma_Om_pooled,sigma_S8_pooled,sigma_w0_pooled,runs
2000,5,26734.2,27222.1,1417.1,0.0331432,0.0619313,0.11187,1 2 3 4 5
5000,5,79716.3,86203.1,7058.8,0.0218465,0.0409401,0.0929952,1 2 3 4 5
10000,3,199666,209657,5360.35,0.016166,0.0293493,0.0774191,2 3 4
14000,5,244856,259191,30656.6,0.0141988,0.0255046,0.0767416,1 2 3 4 5
28000,9,344345,436743,52253.1,0.0120456,0.022065,0.072168,1 2 3 5 6 7 8 9 10
35000,3,506656,614062,56388.8,0.0103232,0.0198073,0.0654479,2 3 4
fullsky,5,464695,648950,135038,0.00895487,0.0172229,0.0653035,1 2 3 4 5
