contour,n_seeds,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,sigma_Om_pooled,sigma_S8_pooled,sigma_w0_pooled,runs
2000,6,39963.3,58026,23755.9,0.0206771,0.0262326,0.105815,1 2 4 5 6 8
5000,9,254786,276716,28546.8,0.015112,0.0183344,0.0833389,2 3 4 5 6 7 8 9 10
10000,8,489145,573747,79681.4,0.0124087,0.0149993,0.0703858,2 3 4 6 7 8 9 10
14000,5,733789,796101,70962.3,0.0112968,0.0129136,0.0717616,2 4 6 7 10
28000,7,1.89705e+06,2.17365e+06,400843,0.00803595,0.00976471,0.050567,2 4 5 6 7 9 10
35000,9,1.91614e+06,2.6677e+06,315263,0.00789906,0.00952889,0.0503874,1 2 3 4 5 6 7 8 9
