contour,n_seeds,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,sigma_Om_pooled,sigma_S8_pooled,sigma_w0_pooled,runs
2000,6,31781.1,33269.7,3563.98,0.0235823,0.0364996,0.114684,2 3 4 5 6 7
5000,10,93287.7,100977,22596.5,0.0182668,0.0269328,0.0853512,1 2 3 4 5 6 7 8 9 10
10000,10,256735,284157,48865.9,0.0140945,0.0201991,0.06776,1 2 3 4 5 6 7 8 9 10
14000,9,380074,436108,83501.6,0.0125194,0.0180529,0.059811,2 3 4 5 6 7 8 9 10
28000,8,1.01181e+06,1.20065e+06,376149,0.0093104,0.0132113,0.0472782,1 4 5 6 7 8 9 10
35000,9,1.46079e+06,1.72311e+06,534004,0.00825169,0.0121412,0.0406706,1 2 3 4 5 6 7 9 10
