contour,n_seeds,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,sigma_Om_pooled,sigma_S8_pooled,sigma_w0_pooled,runs
2000,6,62631.1,67349,9436.33,0.0208888,0.0297607,0.103729,1 4 5 6 7 10
5000,9,279106,298172,42102.5,0.0149234,0.0193983,0.0820092,2 3 4 5 6 7 8 9 10
10000,9,486077,607073,145120,0.0123966,0.0152872,0.0682623,1 2 4 5 6 7 8 9 10
14000,7,852882,906477,75208.8,0.0114156,0.0129708,0.0696715,1 2 3 4 5 6 7
28000,8,2.23733e+06,2.60035e+06,308339,0.00798605,0.00987261,0.0465528,1 2 3 5 7 8 9 10
35000,9,2.51919e+06,3.13993e+06,434062,0.00791397,0.00919608,0.0467899,1 2 3 4 5 6 8 9 10
