arm,nfeat,param,cond_corr,cond_raw_score,dynamic_range,n_negative,fisher_frac_top10,fisher_frac_top25,fisher_frac_top50,snr_median,snr_frac_gt1
nonBNT,50,Om,4400.882199173417,3348.882653670257,71.99262894876443,0,0.6664535744169322,0.7261544069252968,0.7782857306722288,136.38526782613425,1.0
nonBNT,50,S8,4400.882199173417,3348.882653670257,71.99262894876443,0,0.6428589239839283,0.7049465252060165,0.7612693837952315,73.41470664874566,1.0
nonBNT,50,w0,4400.882199173417,3348.882653670257,71.99262894876443,0,0.4427820844159759,0.5653549189947833,0.7439824185214999,8.17797401041224,1.0
BNT,92,Om,827.4981859445971,12262.84630473665,1741.777415276213,29,0.06905308132516308,0.24347088474966042,0.5551016104976545,8.230456476832932,0.9891304347826086
BNT,92,S8,827.4981859445971,12262.84630473665,1741.777415276213,29,0.052843096639287206,0.17689011505394497,0.4951563551786644,5.8030031562105435,0.9565217391304348
BNT,92,w0,827.4981859445971,12262.84630473665,1741.777415276213,29,0.08820492503113471,0.2762356951038282,0.4858002329012988,0.7304142907709834,0.391304347826087
