series,area_sqdeg,upper_cut_lmax,nsigma,nsigma_err,n_seeds,errbar_kind
BNT bin-1 only,35000,500,0.607220,0.087350,5,std
BNT bin-1 only,35000,540,0.822810,0.155050,5,std
BNT bin-1 only,35000,580,0.778790,0.171480,5,std
BNT bin-1 only,35000,620,1.095580,0.219440,5,std
BNT bin-1 only,35000,660,0.769270,0.064740,5,std
BNT bin-1 only,35000,700,1.084160,0.140010,5,std
BNT bin-1 only,35000,740,1.013150,0.366840,5,std
BNT bin-1 only,35000,780,1.226520,0.206020,5,std
BNT bin-1 only,35000,820,1.281900,0.543200,5,std
BNT bin-1 only,35000,860,1.375620,0.501780,5,std
BNT bin-1 only,35000,900,1.864170,0.219100,5,std
BNT bin-1 only,35000,940,1.349780,0.358140,5,std
BNT bin-1 only,35000,980,1.549200,0.467590,5,std
BNT bin-1 only,35000,1020,1.890890,0.270950,5,std
non-BNT cut all,2000,340,0.000840,0.000130,5,std
non-BNT cut all,2000,380,0.001750,0.000240,5,std
non-BNT cut all,2000,420,0.007220,0.001220,5,std
non-BNT cut all,2000,460,0.010100,0.001780,5,std
non-BNT cut all,2000,500,0.019030,0.001040,5,std
non-BNT cut all,2000,540,0.028230,0.002590,5,std
non-BNT cut all,2000,580,0.040440,0.006500,5,std
non-BNT cut all,2000,620,0.059210,0.005120,5,std
non-BNT cut all,2000,660,0.078360,0.013270,5,std
non-BNT cut all,2000,700,0.093840,0.008970,5,std
non-BNT cut all,2000,740,0.146980,0.026870,5,std
non-BNT cut all,2000,780,0.157150,0.016660,5,std
non-BNT cut all,2000,820,0.222250,0.020120,5,std
non-BNT cut all,2000,860,0.246840,0.021250,5,std
non-BNT cut all,2000,900,0.354780,0.052850,5,std
non-BNT cut all,2000,940,0.324910,0.052930,5,std
non-BNT cut all,2000,980,0.461950,0.046440,5,std
non-BNT cut all,2000,1020,0.432710,0.059990,5,std
non-BNT cut all,5000,340,0.005150,0.000600,5,std
non-BNT cut all,5000,380,0.011120,0.001300,5,std
non-BNT cut all,5000,420,0.035200,0.007250,5,std
non-BNT cut all,5000,460,0.067370,0.010320,5,std
non-BNT cut all,5000,500,0.102010,0.013830,5,std
non-BNT cut all,5000,540,0.116480,0.021290,5,std
non-BNT cut all,5000,580,0.237600,0.024360,5,std
non-BNT cut all,5000,620,0.325210,0.052890,5,std
non-BNT cut all,5000,660,0.430540,0.044840,5,std
