statistic,role,parameter,mean,std,truth,n_runs_pooled,n_samples,runs
Power spectrum,biased,Om,0.255325,0.017198,0.26,5,15000,1 2 3 4 5
Power spectrum,biased,S8,0.831620,0.030719,0.84,5,15000,1 2 3 4 5
Power spectrum,biased,w0,-1.105544,0.088068,-1.0,5,15000,1 2 3 4 5
Peak counts,biased,Om,0.260031,0.015192,0.26,5,15000,1 2 3 4 5
Peak counts,biased,S8,0.834327,0.024739,0.84,5,15000,1 2 3 4 5
Peak counts,biased,w0,-1.070485,0.106290,-1.0,5,15000,1 2 3 4 5
L1 norm,biased,Om,0.254274,0.012985,0.26,5,15000,1 2 3 4 5
L1 norm,biased,S8,0.838848,0.016294,0.84,5,15000,1 2 3 4 5
L1 norm,biased,w0,-1.071118,0.093360,-1.0,5,15000,1 2 3 4 5
