contour,n_seeds,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,sigma_Om_pooled,sigma_S8_pooled,sigma_w0_pooled,runs
Power spectrum / null,4,308995,343758,29922.7,0.0135289,0.0240982,0.0776982,1 3 4 5
Power spectrum / biased,4,245593,259309,34274.1,0.0142335,0.0257544,0.0770066,1 3 4 5
Peak counts / null,7,380231,443856,91040.7,0.0125009,0.0179192,0.0595888,2 4 5 6 7 9 10
Peak counts / biased,7,402823,470796,76096.5,0.0116838,0.0161893,0.0621395,2 4 5 6 7 9 10
L1 norm / null,4,830947,891857,91608.8,0.0115307,0.0131528,0.0697433,2 4 6 7
L1 norm / biased,4,748403,789575,77984.5,0.011138,0.0127371,0.070329,2 4 6 7
