contour,n_seeds,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,sigma_Om_pooled,sigma_S8_pooled,sigma_w0_pooled,runs
Power spectrum / biased,5,143694,148094,6958.59,0.0171989,0.0307202,0.0880708,1 2 3 4 5
Peak counts / biased,5,101938,107865,15683.2,0.0151928,0.02474,0.106294,1 2 3 4 5
L1 norm / biased,5,314872,334375,21761.3,0.0129854,0.0162949,0.0933628,1 2 3 4 5
