statistic,role,parameter,mean,std,truth,n_runs_pooled,n_samples,runs
Power spectrum,biased,Om,0.255166,0.017163,0.26,5,3000,1 2 3 4 5
Power spectrum,biased,S8,0.830745,0.030207,0.84,5,3000,1 2 3 4 5
Power spectrum,biased,w0,-1.107813,0.089062,-1.0,5,3000,1 2 3 4 5
Peak counts,biased,Om,0.258189,0.013845,0.26,5,3000,1 2 3 4 5
Peak counts,biased,S8,0.837301,0.023125,0.84,5,3000,1 2 3 4 5
Peak counts,biased,w0,-1.055125,0.097757,-1.0,5,3000,1 2 3 4 5
L1 norm,biased,Om,0.257958,0.013264,0.26,5,3000,1 2 3 4 5
L1 norm,biased,S8,0.835629,0.017303,0.84,5,3000,1 2 3 4 5
L1 norm,biased,w0,-1.051151,0.091519,-1.0,5,3000,1 2 3 4 5
