statistic,role,parameter,mean,std,truth,n_runs_pooled,n_samples,runs
Power spectrum,biased,Om,0.256020,0.011429,0.26,3,3000,2 3 4
Power spectrum,biased,S8,0.835363,0.022738,0.84,3,3000,2 3 4
Power spectrum,biased,w0,-1.081995,0.065288,-1.0,3,3000,2 3 4
Peak counts,biased,Om,0.256540,0.010177,0.26,5,3000,1 2 3 4 5
Peak counts,biased,S8,0.835719,0.015278,0.84,5,3000,1 2 3 4 5
Peak counts,biased,w0,-1.074834,0.073785,-1.0,5,3000,1 2 3 4 5
L1 norm,biased,Om,0.257072,0.009623,0.26,5,3000,1 2 3 4 5
L1 norm,biased,S8,0.834261,0.011869,0.84,5,3000,1 2 3 4 5
L1 norm,biased,w0,-1.058297,0.070403,-1.0,5,3000,1 2 3 4 5
