basis,noise,bin,n_seeds,realisation,sigma,sigma_signal,sigma_noise,snr,colour_limit,min,max
standard,noiseless,1,1,perm_0000,0.002699632029978719,0.002699632029978719,0.0,inf,0.017800805268691957,-0.0037879640391562134,0.1670597876267042
standard,noiseless,2,1,perm_0000,0.004590022982041073,0.004590022982041073,0.0,inf,0.017800805268691957,-0.007795248245983384,0.1996344224827597
standard,noiseless,3,1,perm_0000,0.007359398902009437,0.007359398902009437,0.0,inf,0.017800805268691957,-0.015106511520035566,0.21278283816408367
standard,noiseless,4,1,perm_0000,0.008900402634345978,0.008900402634345978,0.0,inf,0.017800805268691957,-0.02068168883854523,0.2299319894081913
