label,dir,tag,seed_mode,seed_drawn,n_seeds,sigma_Om,sigma_S8,sigma_w0,r_Om_S8,r_Om_w0,r_S8_w0,det_R,fom3_drawn,fom3_seed_avg_cov
BNT basis; bin-1 $\ell_{\rm max}=460$,outputs/score_embed_anaw16/bnt_r20_c460,bnt,pooled,5 seeds pooled,5,0.013907,0.024256,0.075070,-0.915644,0.061666,0.310674,0.026191,2.440058e+05,2.543329e+05
standard basis; global $\ell_{\rm max}=460$,outputs/score_embed_anaw16/nonbnt_r20_c460,nonbnt,pooled,5 seeds pooled,5,0.016069,0.030078,0.078001,-0.937894,-0.020231,0.330319,0.023370,1.735174e+05,1.796797e+05
