label,dir,tag,seed_mode,seed_drawn,n_seeds,sigma_Om,sigma_S8,sigma_w0,r_Om_S8,r_Om_w0,r_S8_w0,det_R,fom3_drawn,fom3_seed_avg_cov
BNT basis; bin-1 $\ell_{\rm max}=460$,outputs/score_flagship_c460/bnt_r20_c460,bnt,single,seed 41,5,0.015773,0.027229,0.085130,-0.906089,0.143474,0.257288,0.025327,1.718616e+05,1.637099e+05
standard basis; global $\ell_{\rm max}=460$,outputs/score_flagship_c460/nonbnt_r20_c460,nonbnt,single,seed 41,5,0.018551,0.034002,0.089010,-0.928757,0.039977,0.298708,0.024406,1.140089e+05,1.113602e+05
