label,dir,tag,seed_mode,seed_drawn,n_seeds,sigma_Om,sigma_S8,sigma_w0,r_Om_S8,r_Om_w0,r_S8_w0,det_R,fom3_drawn,fom3_seed_avg_cov
BNT basis,outputs/score_embed_nocut/bnt_r20_c1024,bnt,single,seed 45,5,0.011715,0.020017,0.062181,-0.932582,0.053563,0.278312,0.022160,4.606993e+05,4.278230e+05
standard basis,outputs/score_embed_nocut/nonbnt_r20_c1024,nonbnt,single,seed 41,5,0.011030,0.018986,0.060635,-0.926313,0.049524,0.300100,0.021898,5.321983e+05,4.148344e+05
