upper_cut,fullsky
340,0.00244
380,0.00244
420,0.02030
460,0.02499
500,0.02499
540,0.08999
580,0.04938
620,0.04938
660,0.06883
700,0.12132
740,0.12132
780,0.03479
820,0.15768
860,0.15768
900,0.18788
940,0.30405
980,0.30405
1020,0.05962
