area,upper_cut,mean,std,n,n_total,n_excluded
fullsky,100,0.00000,0.00000,5,5,0
fullsky,140,0.00001,0.00000,5,5,0
fullsky,180,0.00002,0.00001,5,5,0
fullsky,220,0.00122,0.00037,5,5,0
fullsky,260,0.01107,0.00540,5,5,0
fullsky,300,0.01319,0.00590,5,5,0
fullsky,340,0.04965,0.02187,5,5,0
fullsky,380,0.14881,0.06302,5,5,0
fullsky,420,0.40152,0.12169,5,5,0
fullsky,460,0.89647,0.33406,5,5,0
fullsky,500,0.85541,0.22916,5,5,0
fullsky,540,1.19578,0.49677,5,5,0
fullsky,580,2.48728,0.59238,5,5,0
fullsky,620,2.55352,0.76501,5,5,0
fullsky,660,3.35949,0.46899,5,5,0
fullsky,700,3.23002,0.36142,5,5,0
fullsky,740,4.18330,0.89163,5,5,0
fullsky,780,4.94309,0.51197,5,5,0
fullsky,820,4.94862,1.09778,5,5,0
fullsky,860,5.28023,0.99990,5,5,0
fullsky,900,5.12560,0.54479,5,5,0
fullsky,940,5.38340,0.62666,5,5,0
fullsky,980,6.05298,1.07397,5,5,0
fullsky,1020,6.20996,1.29600,5,5,0
