upper_cut,tarp,tarp_dev,sbc,sbc_rank_std
340,OK,0.08299999999999991,OK,"[0.28049161195123107, 0.27768135965527113, 0.2941835725784158, 0.2998642151041034, 0.2696569475741354, 0.29741766822937743]"
380,OK,0.07750000000000001,OK,"[0.283419878448919, 0.28342792734661837, 0.2926144007050918, 0.29887363132267136, 0.27421356184550755, 0.29116294299755924]"
420,OK,0.07750000000000001,OK,"[0.283419878448919, 0.28342792734661837, 0.2926144007050918, 0.29887363132267136, 0.27421356184550755, 0.29116294299755924]"
460,OK,0.07349999999999995,OK,"[0.28981644082936353, 0.2893965445543537, 0.2895441201267952, 0.2957756487187544, 0.2756246439906998, 0.2930261037859937]"
500,OK,0.07349999999999995,OK,"[0.28981644082936353, 0.2893965445543537, 0.2895441201267952, 0.2957756487187544, 0.2756246439906998, 0.2930261037859937]"
540,OK,0.07500000000000001,OK,"[0.29200372322112617, 0.2952109415316445, 0.2919299734097203, 0.29547705071629504, 0.2716737185945671, 0.2942438402074035]"
580,OK,0.07500000000000001,OK,"[0.29200372322112617, 0.2952109415316445, 0.2919299734097203, 0.29547705071629504, 0.2716737185945671, 0.2942438402074035]"
620,OK,0.08499999999999991,OK,"[0.28594366140902644, 0.2862171334843531, 0.29233729555942733, 0.2963136840832701, 0.27099011052066085, 0.2932939811434937]"
660,OK,0.08499999999999991,OK,"[0.28594366140902644, 0.2862171334843531, 0.29233729555942733, 0.2963136840832701, 0.27099011052066085, 0.2932939811434937]"
700,OK,0.06849999999999995,OK,"[0.2818998392603302, 0.2862544148131169, 0.2880693482045599, 0.29803397352483163, 0.2725238418469107, 0.2923567982790891]"
740,OK,0.06849999999999995,OK,"[0.2818998392603302, 0.2862544148131169, 0.2880693482045599, 0.29803397352483163, 0.2725238418469107, 0.2923567982790891]"
780,OK,0.0699999999999999,OK,"[0.2802362351659756, 0.28636228801991365, 0.29017248211193286, 0.300914622442978, 0.2660131563945663, 0.29402316979279036]"
820,OK,0.0699999999999999,OK,"[0.2802362351659756, 0.28636228801991365, 0.29017248211193286, 0.300914622442978, 0.2660131563945663, 0.29402316979279036]"
860,OK,0.07999999999999985,OK,"[0.28988945198989224, 0.2992813225044289, 0.2902226903603507, 0.298844185989957, 0.2706351048921777, 0.29436178420440384]"
900,OK,0.07999999999999985,OK,"[0.28988945198989224, 0.2992813225044289, 0.2902226903603507, 0.298844185989957, 0.2706351048921777, 0.29436178420440384]"
940,OK,0.07999999999999985,OK,"[0.2878513494409918, 0.29664267646446296, 0.2938987921036764, 0.2978736141386143, 0.2712715429233226, 0.2918003073593309]"
980,OK,0.07999999999999985,OK,"[0.2878513494409918, 0.29664267646446296, 0.2938987921036764, 0.2978736141386143, 0.2712715429233226, 0.2918003073593309]"
1020,OK,0.08999999999999991,OK,"[0.28540443234119545, 0.2956122629391412, 0.28931399896997734, 0.29696407190096236, 0.2681881324275927, 0.28988824463058166]"
