upper_cut,fullsky
340,0.07630
380,0.07630
420,0.15664
460,0.24473
500,0.24473
540,0.56889
580,0.39538
620,0.39538
660,0.56709
700,0.68267
740,0.68267
780,0.84902
820,0.74126
860,0.74126
900,0.95482
940,1.03661
980,1.03661
1020,1.10088
