upper_cut,fullsky
100,0.00006
140,0.00100
180,0.00166
220,0.00855
260,0.03964
300,0.04345
340,0.09858
380,0.12791
420,0.18740
460,0.49567
500,0.27445
540,0.53221
580,0.76236
620,0.48831
660,0.50378
700,0.35524
740,0.80624
780,0.46025
820,0.84604
860,0.67089
900,0.80896
940,0.34267
980,0.87484
1020,0.67997
