area,upper_cut,run,Q_DM,dofs,P,nsigma,ok
5000,460,2,0.226839,6,0.000223,0.000280,True
5000,460,3,0.221079,6,0.000207,0.000260,True
5000,460,4,0.175776,6,0.000106,0.000133,True
5000,460,5,0.215376,6,0.000192,0.000241,True
5000,500,1,0.333506,6,0.000682,0.000855,True
5000,500,2,0.290833,6,0.000460,0.000576,True
5000,500,3,0.264187,6,0.000348,0.000436,True
5000,500,4,0.259218,6,0.000329,0.000413,True
5000,500,5,0.309092,6,0.000548,0.000687,True
5000,540,1,0.381847,6,0.001006,0.001261,True
5000,540,2,0.353412,6,0.000806,0.001010,True
5000,540,3,0.393520,6,0.001096,0.001374,True
5000,540,4,0.283460,6,0.000427,0.000535,True
5000,540,5,0.469230,6,0.001807,0.002265,True
5000,580,1,0.463633,6,0.001747,0.002189,True
5000,580,2,0.340637,6,0.000725,0.000909,True
5000,580,3,0.388007,6,0.001053,0.001320,True
5000,580,4,0.396939,6,0.001124,0.001408,True
5000,580,5,0.475385,6,0.001875,0.002350,True
5000,620,1,0.425400,6,0.001368,0.001715,True
5000,620,2,0.487787,6,0.002016,0.002527,True
5000,620,3,0.459216,6,0.001700,0.002131,True
5000,620,4,0.444965,6,0.001555,0.001949,True
5000,620,5,0.307314,6,0.000539,0.000676,True
5000,660,1,0.695023,6,0.005402,0.006771,True
5000,660,2,0.568412,6,0.003096,0.003881,True
5000,660,3,0.631375,6,0.004146,0.005196,True
5000,660,4,0.550184,6,0.002827,0.003543,True
5000,660,5,0.654260,6,0.004575,0.005733,True
5000,700,1,0.782574,6,0.007467,0.009359,True
5000,700,2,0.575897,6,0.003211,0.004025,True
5000,700,3,0.951657,6,0.012621,0.015819,True
5000,700,4,0.578535,6,0.003253,0.004076,True
5000,700,5,0.619673,6,0.003937,0.004934,True
5000,740,1,0.945888,6,0.012419,0.015566,True
5000,740,2,0.584825,6,0.003352,0.004201,True
5000,740,3,0.787182,6,0.007587,0.009509,True
5000,740,4,0.773563,6,0.007236,0.009069,True
5000,740,5,0.573517,6,0.003174,0.003979,True
5000,780,1,0.938786,6,0.012173,0.015258,True
5000,780,2,0.893815,6,0.010681,0.013387,True
5000,780,3,0.929463,6,0.011855,0.014858,True
5000,780,4,0.855921,6,0.009510,0.011920,True
5000,780,5,0.864538,6,0.009769,0.012245,True
5000,820,1,1.509073,6,0.041110,0.051547,True
5000,820,2,1.067850,6,0.017091,0.021422,True
5000,820,3,1.012599,6,0.014870,0.018638,True
5000,820,4,1.155252,6,0.020963,0.026276,True
5000,820,5,1.104367,6,0.018655,0.023383,True
5000,860,1,1.123760,6,0.019517,0.024463,True
5000,860,2,1.022306,6,0.015247,0.019111,True
5000,860,3,0.876775,6,0.010145,0.012715,True
5000,860,4,1.042319,6,0.016043,0.020108,True
5000,860,5,0.987558,6,0.013920,0.017448,True
5000,900,1,1.468181,6,0.038420,0.048171,True
5000,900,2,1.230020,6,0.024624,0.030867,True
5000,900,3,1.346141,6,0.030947,0.038797,True
5000,900,4,0.852103,6,0.009397,0.011777,True
5000,900,5,1.359809,6,0.031742,0.039794,True
5000,940,1,1.249025,6,0.025606,0.032098,True
5000,940,2,1.071166,6,0.017230,0.021596,True
5000,940,3,1.465650,6,0.038256,0.047966,True
5000,940,4,1.175327,6,0.021914,0.027469,True
5000,940,5,1.295877,6,0.028115,0.035245,True
5000,980,1,1.575832,6,0.045701,0.057309,True
5000,980,2,1.207308,6,0.023478,0.029429,True
5000,980,3,1.575064,6,0.045647,0.057241,True
5000,980,4,1.249170,6,0.025614,0.032107,True
5000,980,5,1.562745,6,0.044782,0.056155,True
5000,1020,1,1.533580,6,0.042767,0.053626,True
5000,1020,2,1.502044,6,0.040641,0.050958,True
5000,1020,3,1.262454,6,0.026312,0.032984,True
5000,1020,4,1.171340,6,0.021723,0.027230,True
5000,1020,5,1.397507,6,0.033990,0.042613,True
10000,340,1,0.472496,6,0.001843,0.002310,True
10000,340,2,0.341952,6,0.000733,0.000919,True
10000,340,3,0.331869,6,0.000673,0.000843,True
10000,340,4,0.397873,6,0.001131,0.001418,True
10000,340,5,0.479905,6,0.001925,0.002413,True
10000,380,1,0.471200,6,0.001828,0.002292,True
10000,380,2,0.430217,6,0.001413,0.001771,True
10000,380,3,0.442205,6,0.001528,0.001915,True
10000,380,4,0.540561,6,0.002691,0.003372,True
10000,380,5,0.439720,6,0.001503,0.001884,True
10000,420,1,0.508175,6,0.002262,0.002836,True
10000,420,2,0.657074,6,0.004629,0.005802,True
10000,420,3,0.619882,6,0.003940,0.004938,True
10000,420,4,0.593960,6,0.003500,0.004386,True
10000,420,5,0.659265,6,0.004672,0.005855,True
10000,460,1,0.680340,6,0.005094,0.006385,True
10000,460,2,0.698899,6,0.005485,0.006875,True
10000,460,3,0.616700,6,0.003884,0.004868,True
10000,460,4,0.579471,6,0.003267,0.004095,True
10000,460,5,0.666727,6,0.004819,0.006040,True
10000,500,1,1.129942,6,0.019796,0.024814,True
10000,500,2,0.811036,6,0.008225,0.010309,True
10000,500,3,0.752632,6,0.006716,0.008417,True
10000,500,4,0.633471,6,0.004184,0.005244,True
10000,500,5,0.854785,6,0.009476,0.011877,True
10000,540,1,0.825013,6,0.008614,0.010796,True
10000,540,2,1.151222,6,0.020775,0.026040,True
10000,540,3,1.286368,6,0.027596,0.034593,True
10000,540,4,0.942599,6,0.012305,0.015423,True
10000,540,5,1.223421,6,0.024288,0.030445,True
10000,580,1,1.350653,6,0.031209,0.039124,True
10000,580,2,0.918622,6,0.011490,0.014401,True
10000,580,3,1.054174,6,0.016525,0.020712,True
10000,580,4,1.016491,6,0.015021,0.018827,True
10000,580,5,0.909359,6,0.011184,0.014017,True
10000,620,1,1.422612,6,0.035532,0.044547,True
10000,620,2,1.687994,6,0.053956,0.067675,True
10000,620,3,1.539790,6,0.043192,0.054160,True
10000,620,4,1.248278,6,0.025567,0.032049,True
10000,620,5,1.008469,6,0.014711,0.018438,True
10000,660,1,1.663360,6,0.052085,0.065326,True
10000,660,2,1.479726,6,0.039170,0.049112,True
10000,660,3,1.670415,6,0.052618,0.065994,True
10000,660,4,1.470609,6,0.038577,0.048368,True
10000,660,5,1.171226,6,0.021718,0.027223,True
10000,700,1,1.714249,6,0.055984,0.070223,True
10000,700,2,1.859880,6,0.067876,0.085173,True
10000,700,3,1.942128,6,0.075057,0.094209,True
10000,700,4,1.775144,6,0.060826,0.076308,True
