area,upper_cut,run,Q_DM,dofs,P,nsigma,ok
5000,460,2,0.364997,3,0.052625,0.066004,True
5000,460,3,0.424119,3,0.064784,0.081284,True
5000,460,4,0.395353,3,0.058799,0.073761,True
5000,460,5,0.341785,3,0.048013,0.060211,True
5000,500,1,0.452232,3,0.070747,0.088784,True
5000,500,2,0.495319,3,0.080081,0.100536,True
5000,500,3,0.488656,3,0.078623,0.098700,True
5000,500,4,0.583529,3,0.099808,0.125418,True
5000,500,5,0.481055,3,0.076967,0.096613,True
5000,540,1,0.629914,3,0.110449,0.138872,True
5000,540,2,0.534170,3,0.088677,0.111370,True
5000,540,3,0.613668,3,0.106704,0.134134,True
5000,540,4,0.440099,3,0.068160,0.085530,True
5000,540,5,0.538229,3,0.089584,0.112514,True
5000,580,1,0.928437,3,0.181440,0.229397,True
5000,580,2,1.028729,3,0.205699,0.260730,True
5000,580,3,0.961740,3,0.189491,0.239770,True
5000,580,4,1.018472,3,0.203218,0.257513,True
5000,580,5,0.835243,3,0.158980,0.200589,True
5000,620,1,1.441542,3,0.304173,0.390960,True
5000,620,2,1.172484,3,0.240389,0.305992,True
5000,620,3,1.369328,3,0.287260,0.368179,True
5000,620,4,1.148559,3,0.234634,0.298441,True
5000,620,5,1.034336,3,0.207056,0.262489,True
5000,660,1,1.722537,3,0.368065,0.479005,True
5000,660,2,1.659685,3,0.354066,0.459419,True
5000,660,3,1.620359,3,0.345218,0.447128,True
5000,660,4,1.447707,3,0.305609,0.392903,True
5000,660,5,1.388583,3,0.291787,0.374257,True
5000,700,1,1.345814,3,0.281716,0.360753,True
5000,700,2,1.725906,3,0.368810,0.480053,True
5000,700,3,2.175141,3,0.463139,0.617566,True
5000,700,4,1.439739,3,0.303753,0.390392,True
5000,700,5,1.609231,3,0.342701,0.443646,True
5000,740,1,2.375100,3,0.501713,0.677188,True
5000,740,2,2.352889,3,0.497535,0.670617,True
5000,740,3,2.424276,3,0.510868,0.691691,True
5000,740,4,2.192038,3,0.466482,0.622644,True
5000,740,5,1.911703,3,0.409066,0.537483,True
5000,780,1,2.356685,3,0.498251,0.671741,True
