area,upper_cut,mean,std,n,n_total,n_excluded
14000,340,0.00006,0.00003,5,5,0
14000,380,0.00152,0.00058,5,5,0
14000,420,0.00152,0.00058,5,5,0
14000,460,0.01562,0.00651,5,5,0
14000,500,0.01562,0.00651,5,5,0
14000,540,0.04849,0.01003,5,5,0
14000,580,0.04849,0.01003,5,5,0
14000,620,0.19121,0.03979,5,5,0
14000,660,0.19121,0.03979,5,5,0
14000,700,0.47188,0.10128,5,5,0
14000,740,0.47188,0.10128,5,5,0
14000,780,0.96837,0.10303,5,5,0
14000,820,0.96837,0.10303,5,5,0
14000,860,1.61693,0.20819,5,5,0
14000,900,1.61693,0.20819,5,5,0
14000,940,1.90926,0.16360,5,5,0
14000,980,1.90926,0.16360,5,5,0
14000,1020,2.69647,0.17020,5,5,0
