area,upper_cut,run,nsigma,Q_DM,dofs,ok
14000,340,41,0.008400,0.752076,6,True
14000,340,42,0.021910,1.077113,6,True
14000,340,43,0.004866,0.616588,6,True
14000,340,44,0.022320,1.084796,6,True
14000,340,45,0.006676,0.691452,6,True
14000,380,41,0.016123,0.958508,6,True
14000,380,42,0.034000,1.277631,6,True
14000,380,43,0.008900,0.768227,6,True
14000,380,44,0.011641,0.848411,6,True
14000,380,45,0.022942,1.096313,6,True
14000,420,41,0.016123,0.958508,6,True
14000,420,42,0.034000,1.277631,6,True
14000,420,43,0.008900,0.768227,6,True
14000,420,44,0.011641,0.848411,6,True
14000,420,45,0.022942,1.096313,6,True
14000,460,41,0.085170,1.859846,6,True
14000,460,42,0.050430,1.495696,6,True
14000,460,43,0.065455,1.664731,6,True
14000,460,44,0.099443,1.988137,6,True
14000,460,45,0.028715,1.195792,6,True
14000,500,41,0.085170,1.859846,6,True
14000,500,42,0.050430,1.495696,6,True
14000,500,43,0.065455,1.664731,6,True
14000,500,44,0.099443,1.988137,6,True
14000,500,45,0.028715,1.195792,6,True
14000,540,41,0.123330,2.185762,6,True
14000,540,42,0.069416,1.705982,6,True
14000,540,43,0.192302,2.682535,6,True
14000,540,44,0.129018,2.230332,6,True
14000,540,45,0.068039,1.691771,6,True
14000,580,41,0.123330,2.185762,6,True
14000,580,42,0.069416,1.705982,6,True
14000,580,43,0.192302,2.682535,6,True
14000,580,44,0.129018,2.230332,6,True
14000,580,45,0.068039,1.691771,6,True
14000,620,41,0.305949,3.381645,6,True
14000,620,42,0.341857,3.586274,6,True
14000,620,43,0.289098,3.283566,6,True
14000,620,44,0.230793,2.930840,6,True
14000,620,45,0.198719,2.725022,6,True
14000,660,41,0.305949,3.381645,6,True
14000,660,42,0.341857,3.586274,6,True
14000,660,43,0.289098,3.283566,6,True
14000,660,44,0.230793,2.930840,6,True
14000,660,45,0.198719,2.725022,6,True
14000,700,41,0.793971,5.964200,6,True
14000,700,42,0.506379,4.475641,6,True
14000,700,43,0.645696,5.199626,6,True
14000,700,44,0.413744,3.982373,6,True
14000,700,45,0.334420,3.544331,6,True
14000,740,41,0.793971,5.964200,6,True
14000,740,42,0.506379,4.475641,6,True
14000,740,43,0.645696,5.199626,6,True
14000,740,44,0.413744,3.982373,6,True
14000,740,45,0.334420,3.544331,6,True
14000,780,41,1.170396,7.949298,6,True
14000,780,42,0.956900,6.811650,6,True
14000,780,43,0.993769,7.005540,6,True
14000,780,44,0.928572,6.663292,6,True
14000,780,45,0.776612,5.874558,6,True
14000,820,41,1.170396,7.949298,6,True
14000,820,42,0.956900,6.811650,6,True
14000,820,43,0.993769,7.005540,6,True
14000,820,44,0.928572,6.663292,6,True
14000,820,45,0.776612,5.874558,6,True
14000,860,41,1.578369,10.250773,6,True
14000,860,42,1.810887,11.653588,6,True
14000,860,43,1.538043,10.014608,6,True
14000,860,44,1.362019,9.006871,6,True
14000,860,45,1.307287,8.700829,6,True
14000,900,41,1.578369,10.250773,6,True
14000,900,42,1.810887,11.653588,6,True
14000,900,43,1.538043,10.014608,6,True
14000,900,44,1.362019,9.006871,6,True
14000,900,45,1.307287,8.700829,6,True
14000,940,41,1.727686,11.143390,6,True
14000,940,42,1.791739,11.535337,6,True
14000,940,43,1.974003,12.681534,6,True
14000,940,44,2.088736,13.427227,6,True
14000,940,45,1.943339,12.485433,6,True
14000,980,41,1.727686,11.143390,6,True
14000,980,42,1.791739,11.535337,6,True
14000,980,43,1.974003,12.681534,6,True
14000,980,45,1.943339,12.485433,6,True
14000,1020,41,2.263485,14.600100,6,True
14000,1020,42,2.510050,16.333539,6,True
14000,1020,43,2.818005,18.632074,6,True
14000,1020,44,2.567496,16.750914,6,True
