area,upper_cut,run,nsigma,Q_DM,dofs,ok
14000,340,41,0.000067,0.139162,6,True
14000,340,42,0.000092,0.155115,6,True
14000,340,43,0.000081,0.148647,6,True
14000,340,44,0.000026,0.101488,6,True
14000,340,45,0.000039,0.115821,6,True
14000,380,41,0.002150,0.460654,6,True
14000,380,42,0.000997,0.351834,6,True
14000,380,43,0.000988,0.350687,6,True
14000,380,44,0.001359,0.392063,6,True
14000,380,45,0.002113,0.457883,6,True
14000,420,41,0.002150,0.460654,6,True
14000,420,42,0.000997,0.351834,6,True
14000,420,43,0.000988,0.350687,6,True
14000,420,44,0.001359,0.392063,6,True
14000,420,45,0.002113,0.457883,6,True
14000,460,41,0.026799,1.164108,6,True
14000,460,42,0.013890,0.906251,6,True
14000,460,43,0.014726,0.926340,6,True
14000,460,44,0.012824,0.879578,6,True
14000,460,45,0.009864,0.797893,6,True
14000,500,41,0.026799,1.164108,6,True
14000,500,42,0.013890,0.906251,6,True
14000,500,43,0.014726,0.926340,6,True
14000,500,44,0.012824,0.879578,6,True
14000,500,45,0.009864,0.797893,6,True
14000,540,41,0.035194,1.295137,6,True
14000,540,42,0.061889,1.626534,6,True
14000,540,43,0.044988,1.428260,6,True
14000,540,44,0.053914,1.536928,6,True
14000,540,45,0.046465,1.446958,6,True
14000,580,41,0.035194,1.295137,6,True
14000,580,42,0.061889,1.626534,6,True
14000,580,43,0.044988,1.428260,6,True
14000,580,44,0.053914,1.536928,6,True
14000,580,45,0.046465,1.446958,6,True
14000,620,41,0.195357,2.702824,6,True
14000,620,42,0.139447,2.309993,6,True
14000,620,43,0.172524,2.548284,6,True
14000,620,44,0.201027,2.740190,6,True
14000,620,45,0.247700,3.035594,6,True
14000,660,41,0.195357,2.702824,6,True
14000,660,42,0.139447,2.309993,6,True
14000,660,43,0.172524,2.548284,6,True
14000,660,44,0.201027,2.740190,6,True
14000,660,45,0.247700,3.035594,6,True
14000,700,41,0.598851,4.957527,6,True
14000,700,42,0.381295,3.805452,6,True
14000,700,43,0.381922,3.808897,6,True
14000,700,44,0.558579,4.748511,6,True
14000,700,45,0.438750,4.117029,6,True
14000,740,41,0.598851,4.957527,6,True
14000,740,42,0.381295,3.805452,6,True
14000,740,43,0.381922,3.808897,6,True
14000,740,44,0.558579,4.748511,6,True
14000,740,45,0.438750,4.117029,6,True
14000,780,41,0.848983,6.248926,6,True
14000,780,42,1.003746,7.058171,6,True
14000,780,43,1.039579,7.247823,6,True
14000,780,44,1.079191,7.458663,6,True
14000,780,45,0.870366,6.359932,6,True
14000,820,41,0.848983,6.248926,6,True
14000,820,42,1.003746,7.058171,6,True
14000,820,43,1.039579,7.247823,6,True
14000,820,44,1.079191,7.458663,6,True
14000,820,45,0.870366,6.359932,6,True
14000,860,41,1.392915,9.181116,6,True
14000,860,42,1.639498,10.612705,6,True
14000,860,43,1.912661,12.290581,6,True
14000,860,44,1.445740,9.481590,6,True
14000,860,45,1.693827,10.938427,6,True
14000,900,41,1.392915,9.181116,6,True
14000,900,42,1.639498,10.612705,6,True
14000,900,43,1.912661,12.290581,6,True
14000,900,44,1.445740,9.481590,6,True
14000,900,45,1.693827,10.938427,6,True
14000,940,41,1.972425,12.671410,6,True
14000,940,42,1.965694,12.628265,6,True
14000,940,43,2.065088,13.271973,6,True
14000,940,44,1.908818,12.266266,6,True
14000,940,45,1.634299,10.581735,6,True
14000,980,41,1.972425,12.671410,6,True
14000,980,42,1.965694,12.628265,6,True
14000,980,43,2.065088,13.271973,6,True
14000,980,44,1.908818,12.266266,6,True
14000,980,45,1.634299,10.581735,6,True
14000,1020,41,2.414625,15.651580,6,True
14000,1020,42,2.872312,19.053149,6,True
14000,1020,43,2.755027,18.149720,6,True
14000,1020,44,2.742147,18.051855,6,True
14000,1020,45,2.698230,17.720165,6,True
