upper_cut,fullsky
100,0.00000
140,0.00000
180,0.00001
220,0.00037
260,0.00540
300,0.00590
340,0.02187
380,0.06302
420,0.12169
460,0.33406
500,0.22916
540,0.49677
580,0.59238
620,0.76501
660,0.46899
700,0.36142
740,0.89163
780,0.51197
820,1.09778
860,0.99990
900,0.54479
940,0.62666
980,1.07397
1020,1.29600
