area,upper_cut,mean,std,n,n_total,n_excluded
2000,340,0.00002,0.00001,3,3,0
2000,380,0.00005,0.00002,3,3,0
2000,420,0.00005,0.00002,3,3,0
2000,460,0.00005,0.00002,3,3,0
2000,500,0.00005,0.00002,3,3,0
2000,540,0.00034,0.00006,3,3,0
2000,580,0.00034,0.00006,3,3,0
2000,620,0.00034,0.00006,3,3,0
2000,660,0.00034,0.00006,3,3,0
2000,700,0.00241,0.00023,3,3,0
2000,740,0.00241,0.00023,3,3,0
2000,780,0.00241,0.00023,3,3,0
2000,820,0.00241,0.00023,3,3,0
2000,860,0.01558,0.00216,3,3,0
2000,900,0.01558,0.00216,3,3,0
2000,940,0.01558,0.00216,3,3,0
2000,980,0.01558,0.00216,3,3,0
2000,1020,0.06324,0.01852,3,3,0
5000,340,0.00070,0.00011,3,3,0
5000,380,0.00175,0.00030,3,3,0
5000,420,0.00175,0.00030,3,3,0
5000,460,0.00175,0.00030,3,3,0
5000,500,0.00175,0.00030,3,3,0
5000,540,0.01286,0.00365,3,3,0
5000,580,0.01286,0.00365,3,3,0
5000,620,0.01286,0.00365,3,3,0
5000,660,0.01286,0.00365,3,3,0
5000,700,0.05955,0.01916,3,3,0
5000,740,0.05955,0.01916,3,3,0
5000,780,0.05955,0.01916,3,3,0
5000,820,0.05955,0.01916,3,3,0
5000,860,0.28907,0.03304,3,3,0
5000,900,0.28907,0.03304,3,3,0
5000,940,0.28907,0.03304,3,3,0
5000,980,0.28907,0.03304,3,3,0
5000,1020,0.68553,0.13477,3,3,0
10000,340,0.00448,0.00106,3,3,0
10000,380,0.01412,0.00346,3,3,0
10000,420,0.01412,0.00346,3,3,0
10000,460,0.01412,0.00346,3,3,0
10000,500,0.01412,0.00346,3,3,0
10000,540,0.10415,0.03452,3,3,0
10000,580,0.10415,0.03452,3,3,0
10000,620,0.10415,0.03452,3,3,0
10000,660,0.10415,0.03452,3,3,0
10000,700,0.39235,0.02981,3,3,0
10000,740,0.39235,0.02981,3,3,0
10000,780,0.39235,0.02981,3,3,0
10000,820,0.39235,0.02981,3,3,0
10000,860,1.00651,0.02804,3,3,0
10000,900,1.00651,0.02804,3,3,0
10000,940,1.00651,0.02804,3,3,0
10000,980,1.00651,0.02804,3,3,0
10000,1020,1.53005,0.16986,3,3,0
14000,340,0.01868,0.00954,3,3,0
14000,380,0.04879,0.00541,3,3,0
14000,420,0.04879,0.00541,3,3,0
14000,460,0.04879,0.00541,3,3,0
14000,500,0.04879,0.00541,3,3,0
14000,540,0.17228,0.00782,3,3,0
14000,580,0.17228,0.00782,3,3,0
14000,620,0.17228,0.00782,3,3,0
14000,660,0.17228,0.00782,3,3,0
14000,700,0.63924,0.13979,3,3,0
14000,740,0.63924,0.13979,3,3,0
14000,780,0.63924,0.13979,3,3,0
14000,820,0.63924,0.13979,3,3,0
14000,860,1.42389,0.25746,3,3,0
14000,900,1.42389,0.25746,3,3,0
14000,940,1.42389,0.25746,3,3,0
14000,980,1.42389,0.25746,3,3,0
14000,1020,2.10637,0.28280,3,3,0
28000,340,0.10208,0.03121,3,3,0
28000,380,0.26339,0.09715,3,3,0
28000,420,0.26339,0.09715,3,3,0
28000,460,0.26339,0.09715,3,3,0
28000,500,0.26339,0.09715,3,3,0
28000,540,0.70422,0.10132,3,3,0
28000,580,0.70422,0.10132,3,3,0
28000,620,0.70422,0.10132,3,3,0
28000,660,0.70422,0.10132,3,3,0
28000,700,2.04966,0.29309,3,3,0
28000,740,2.04966,0.29309,3,3,0
28000,780,2.04966,0.29309,3,3,0
28000,820,2.04966,0.29309,3,3,0
28000,860,2.86539,0.44185,3,3,0
28000,900,2.86539,0.44185,3,3,0
28000,940,2.86539,0.44185,3,3,0
28000,980,2.86539,0.44185,3,3,0
28000,1020,4.25115,0.38899,3,3,0
35000,340,0.19857,0.05809,3,3,0
35000,380,0.40935,0.09048,3,3,0
35000,420,0.40935,0.09048,3,3,0
35000,460,0.40935,0.09048,3,3,0
35000,500,0.40935,0.09048,3,3,0
35000,540,1.12802,0.06052,3,3,0
35000,580,1.12802,0.06052,3,3,0
35000,620,1.12802,0.06052,3,3,0
35000,660,1.12802,0.06052,3,3,0
35000,700,2.87404,0.24301,3,3,0
35000,740,2.87404,0.24301,3,3,0
35000,780,2.87404,0.24301,3,3,0
35000,820,2.87404,0.24301,3,3,0
35000,860,3.92745,0.45237,3,3,0
35000,900,3.92745,0.45237,3,3,0
35000,940,3.92745,0.45237,3,3,0
35000,980,3.92745,0.45237,3,3,0
35000,1020,5.49217,0.61380,3,3,0
