upper_cut,fullsky
340,0.00015
380,0.00015
420,0.00156
460,0.00397
500,0.00397
540,0.03550
580,0.01451
620,0.01451
660,0.02706
700,0.06989
740,0.06989
780,0.02693
820,0.08795
860,0.08795
900,0.12231
940,0.28311
980,0.28311
1020,0.08107
