upper_cut,fullsky
340,0.00178
380,0.00178
420,0.00749
460,0.02040
500,0.02040
540,0.10710
580,0.06463
620,0.06463
660,0.12858
700,0.20224
740,0.20224
780,0.30145
820,0.30380
860,0.30380
900,0.47789
940,0.54188
980,0.54188
1020,0.61328
