area,upper_cut,mean,std,n,n_total,n_excluded
14000,340,0.01283,0.00857,5,5,0
14000,380,0.01872,0.01006,5,5,0
14000,420,0.01872,0.01006,5,5,0
14000,460,0.06584,0.02792,5,5,0
14000,500,0.06584,0.02792,5,5,0
14000,540,0.11642,0.05127,5,5,0
14000,580,0.11642,0.05127,5,5,0
14000,620,0.27328,0.05785,5,5,0
14000,660,0.27328,0.05785,5,5,0
14000,700,0.53884,0.18371,5,5,0
14000,740,0.53884,0.18371,5,5,0
14000,780,0.96525,0.14133,5,5,0
14000,820,0.96525,0.14133,5,5,0
14000,860,1.51932,0.19909,5,5,0
14000,900,1.51932,0.19909,5,5,0
14000,940,1.90510,0.14514,5,5,0
14000,980,1.85919,0.11847,4,4,0
14000,1020,2.53976,0.22760,4,4,0
