upper_cut,2000,5000,10000,14000,28000,35000
340,0.00000,0.00005,0.00075,0.00218,0.04382,0.02479
380,0.00000,0.00016,0.00066,0.00218,0.04573,0.05388
420,0.00000,0.00007,0.00124,0.00956,0.01618,0.07824
460,0.00000,0.00007,0.00114,0.00891,0.05611,0.11435
500,0.00000,0.00018,0.00751,0.00716,0.04743,0.06395
540,0.00001,0.00063,0.01005,0.02585,0.07881,0.19927
580,0.00001,0.00061,0.01030,0.01179,0.10156,0.11999
620,0.00002,0.00069,0.01909,0.07074,0.14598,0.15550
660,0.00002,0.00133,0.01586,0.03426,0.21864,0.08629
700,0.00010,0.00507,0.00957,0.06299,0.16162,0.20992
740,0.00013,0.00475,0.02847,0.06099,0.21987,0.27367
780,0.00013,0.00150,0.04186,0.08301,0.25278,0.28209
820,0.00013,0.01332,0.09417,0.15627,0.25251,0.45109
860,0.00009,0.00426,0.03800,0.10223,0.29983,0.41121
900,0.00021,0.01379,0.10735,0.08829,0.43947,0.37828
940,0.00020,0.00988,0.04119,0.22610,0.20407,0.32234
980,0.00029,0.01435,0.07016,0.10681,0.35086,0.45754
1020,0.00032,0.01133,0.09445,0.20705,0.32478,0.16089
