area,upper_cut,run,Q_DM,dofs,P,nsigma,ok
fullsky,860,4,21.032750,3,0.999896,3.881908,True
fullsky,860,5,9.790211,3,0.979564,2.318241,True
fullsky,900,1,10.782042,3,0.987035,2.484736,True
fullsky,900,2,20.938902,3,0.999892,3.870983,True
fullsky,900,3,18.752542,3,0.999692,3.608838,True
fullsky,900,4,11.745713,3,0.991693,2.639330,True
fullsky,900,5,7.682071,3,0.946940,1.934430,True
fullsky,940,1,16.360653,3,0.999044,3.303059,True
fullsky,940,2,10.338714,3,0.984104,2.411298,True
fullsky,940,3,15.079818,3,0.998250,3.129726,True
fullsky,940,4,14.183421,3,0.997334,3.003855,True
fullsky,940,5,12.811577,3,0.994938,2.803041,True
fullsky,980,1,14.520540,3,0.997724,3.051660,True
fullsky,980,2,14.492729,3,0.997694,3.047738,True
fullsky,980,3,26.894696,3,0.999994,4.519645,True
fullsky,980,4,20.864284,3,0.999888,3.862279,True
fullsky,980,5,9.292879,3,0.974360,2.231621,True
fullsky,1020,1,8.546635,3,0.964033,2.097297,True
fullsky,1020,2,15.838223,3,0.998776,3.233238,True
fullsky,1020,3,18.844222,3,0.999706,3.620141,True
fullsky,1020,4,18.547073,3,0.999661,3.583399,True
fullsky,1020,5,20.102127,3,0.999838,3.772426,True
