area,upper_cut,mean,std,n,n_total,n_excluded
fullsky,340,0.07630,0.00244,3,3,0
fullsky,380,0.07630,0.00244,3,3,0
fullsky,420,0.15664,0.02030,3,3,0
fullsky,460,0.24473,0.02499,3,3,0
fullsky,500,0.24473,0.02499,3,3,0
fullsky,540,0.56889,0.08999,3,3,0
fullsky,580,0.39538,0.04938,3,3,0
fullsky,620,0.39538,0.04938,3,3,0
fullsky,660,0.56709,0.06883,3,3,0
fullsky,700,0.68267,0.12132,3,3,0
fullsky,740,0.68267,0.12132,3,3,0
fullsky,780,0.84902,0.03479,3,3,0
fullsky,820,0.74126,0.15768,3,3,0
fullsky,860,0.74126,0.15768,3,3,0
fullsky,900,0.95482,0.18788,3,3,0
fullsky,940,1.03661,0.30405,3,3,0
fullsky,980,1.03661,0.30405,3,3,0
fullsky,1020,1.10088,0.05962,3,3,0
