upper_cut,2000,5000,10000,14000,28000,35000
340,0.00091,0.00520,0.01361,0.01688,0.11781,0.10487
380,0.00032,0.01008,0.01164,0.02623,0.13933,0.11061
420,0.00043,0.00539,0.02637,0.05636,0.05348,0.16788
460,0.00080,0.00384,0.00963,0.03499,0.10068,0.12855
500,0.00065,0.00600,0.05186,0.03200,0.06793,0.08735
540,0.00137,0.01393,0.07082,0.08478,0.11085,0.15505
580,0.00164,0.01673,0.04182,0.05045,0.09104,0.17148
620,0.00258,0.01762,0.05828,0.14642,0.18229,0.21944
660,0.00169,0.01509,0.06564,0.07176,0.24245,0.06474
700,0.00330,0.03725,0.05080,0.12409,0.11028,0.14001
740,0.00470,0.02964,0.04779,0.13932,0.31383,0.36684
780,0.00406,0.01209,0.04543,0.09134,0.30449,0.20602
820,0.00373,0.05218,0.15782,0.17129,0.22870,0.54320
860,0.00312,0.01476,0.05349,0.05809,0.19304,0.50178
900,0.00524,0.05199,0.13106,0.11183,0.37524,0.21910
940,0.00470,0.02529,0.06914,0.17291,0.29150,0.35814
980,0.00208,0.02853,0.09780,0.10875,0.25300,0.46759
1020,0.00428,0.03427,0.04226,0.18529,0.32473,0.27095
