area,upper_cut,run,Q_DM,dofs,P,nsigma,ok
fullsky,340,1,0.441712,6,0.001523,0.001909,True
fullsky,340,2,0.417042,6,0.001293,0.001621,True
fullsky,340,3,0.434598,6,0.001454,0.001823,True
fullsky,380,1,0.441712,6,0.001523,0.001909,True
fullsky,380,2,0.417042,6,0.001293,0.001621,True
fullsky,380,3,0.434598,6,0.001454,0.001823,True
fullsky,420,1,0.663689,6,0.004759,0.005964,True
fullsky,420,2,0.774219,6,0.007253,0.009090,True
fullsky,420,3,0.718813,6,0.005924,0.007425,True
fullsky,460,1,1.107691,6,0.018801,0.023566,True
fullsky,460,2,1.073163,6,0.017314,0.021701,True
fullsky,460,3,0.954465,6,0.012720,0.015943,True
fullsky,500,1,1.107691,6,0.018801,0.023566,True
fullsky,500,2,1.073163,6,0.017314,0.021701,True
fullsky,500,3,0.954465,6,0.012720,0.015943,True
fullsky,540,1,1.883262,6,0.069884,0.087699,True
fullsky,540,2,1.863206,6,0.068160,0.085530,True
fullsky,540,3,2.374113,6,0.117718,0.148077,True
fullsky,580,1,1.727199,6,0.056998,0.071497,True
fullsky,580,2,1.756612,6,0.059332,0.074431,True
fullsky,580,3,1.465610,6,0.038254,0.047963,True
fullsky,620,1,1.727199,6,0.056998,0.071497,True
fullsky,620,2,1.756612,6,0.059332,0.074431,True
fullsky,620,3,1.465610,6,0.038254,0.047963,True
fullsky,660,1,1.977395,6,0.078234,0.098210,True
fullsky,660,2,2.389095,6,0.119333,0.150123,True
fullsky,660,3,2.294706,6,0.109301,0.137420,True
fullsky,700,1,2.899593,6,0.178661,0.225823,True
fullsky,700,2,3.093996,6,0.203040,0.257283,True
fullsky,700,3,2.187892,6,0.098368,0.123599,True
fullsky,740,1,2.899593,6,0.178661,0.225823,True
fullsky,740,2,3.093996,6,0.203040,0.257283,True
fullsky,740,3,2.187892,6,0.098368,0.123599,True
fullsky,780,1,3.528937,6,0.259884,0.331700,True
fullsky,780,2,3.230560,6,0.220598,0.280098,True
fullsky,780,3,3.303832,6,0.230141,0.292559,True
fullsky,820,1,3.846627,6,0.302577,0.388802,True
fullsky,820,2,3.401760,6,0.243009,0.309435,True
fullsky,820,3,2.819032,6,0.168807,0.213171,True
fullsky,860,1,3.846627,6,0.302577,0.388802,True
fullsky,860,2,3.401760,6,0.243009,0.309435,True
fullsky,860,3,2.819032,6,0.168807,0.213171,True
fullsky,900,1,4.224247,6,0.353641,0.458827,True
fullsky,900,2,5.008013,6,0.457214,0.608606,True
fullsky,900,3,3.722303,6,0.285804,0.366226,True
fullsky,940,1,3.885767,6,0.307868,0.395964,True
fullsky,940,2,6.348600,6,0.614707,0.868185,True
fullsky,940,3,3.696019,6,0.282266,0.361490,True
fullsky,980,1,3.885767,6,0.307868,0.395964,True
fullsky,980,2,6.348600,6,0.614707,0.868185,True
fullsky,980,3,3.696019,6,0.282266,0.361490,True
fullsky,1020,1,5.505458,6,0.519203,0.705021,True
fullsky,1020,2,4.710598,6,0.418570,0.551297,True
fullsky,1020,3,4.878039,6,0.440452,0.583513,True
