upper_cut,fullsky
100,0.00000
140,0.00001
180,0.00002
220,0.00122
260,0.01107
300,0.01319
340,0.04965
380,0.14881
420,0.40152
460,0.89647
500,0.85541
540,1.19578
580,2.48728
620,2.55352
660,3.35949
700,3.23002
740,4.18330
780,4.94309
820,4.94862
860,5.28023
900,5.12560
940,5.38340
980,6.05298
1020,6.20996
