basis,noise,bin,n_seeds,realisation,sigma,sigma_signal,sigma_noise,snr,colour_limit,min,max
standard,noisy,1,1,perm_0000,0.009091572930893374,0.002699632029978719,0.008681513995868815,0.31096327567557525,0.02490609287302692,-0.03674601944900403,0.16109422162463083
standard,noisy,2,1,perm_0000,0.009918145105625116,0.004590022982041073,0.008792115294999845,0.5220612819592413,0.02490609287302692,-0.04310171252442252,0.1980362996757564
standard,noisy,3,1,perm_0000,0.0114411436030118,0.007359398902009437,0.008760080749961163,0.8401062857830466,0.02490609287302692,-0.04923147305823272,0.22036755899817187
standard,noisy,4,1,perm_0000,0.01245304643651346,0.008900402634345978,0.008709833436782114,1.021879775192839,0.02490609287302692,-0.04540683018781415,0.2455998270310099
