bin,ell_index,frac_diff,band,n_realizations
1,0,-0.0014019651270845155,0.03820115815465233,200
1,1,-0.0018240301725411694,0.030217783468573577,200
1,2,-0.0024265880388857834,0.023194774025067037,200
1,3,-0.0032183383004466552,0.015805340357387034,200
1,4,-0.004097708855401604,0.01187791451114518,200
1,5,-0.004992739708051194,0.008236928424097931,200
1,6,-0.0056877404095201835,0.005539903792002716,200
1,7,-0.005920067997335194,0.004226845975098135,200
1,8,-0.005428399678405857,0.002633062550476875,200
1,9,-0.004353952339285781,0.002317901741499902,200
2,0,-0.0010952043987606996,0.037548489552121866,200
2,1,-0.0015362206257239729,0.02504736519043136,200
2,2,-0.0022435297730399417,0.020133093291816152,200
2,3,-0.0033320715400958225,0.015709774235659724,200
2,4,-0.004794728506905235,0.010696213238524542,200
2,5,-0.006626392538233278,0.008627907380592522,200
2,6,-0.00850908424869909,0.005339332794774473,200
2,7,-0.010013355851942043,0.003927980099478492,200
2,8,-0.010424290426087505,0.002866403132483173,200
2,9,-0.00943015715618254,0.002068707336637969,200
3,0,-0.0006776001571329241,0.03680475527317318,200
3,1,-0.0009732480523316899,0.027809722754112535,200
3,2,-0.0014903612158377023,0.01948996066336956,200
3,3,-0.002433576022663148,0.013843169845603938,200
3,4,-0.0038980074319361602,0.01026425286124571,200
3,5,-0.006129596983908839,0.009027100192441413,200
3,6,-0.008979844681696407,0.006002321492635856,200
3,7,-0.012067565344954892,0.004278981272346411,200
3,8,-0.014341154656070332,0.0029814349987702135,200
3,9,-0.014813306832547796,0.002303084914637753,200
4,0,-0.0005252839953215836,0.03788578758374159,200
4,1,-0.0007505794487234087,0.030307793231898267,200
4,2,-0.0011461705557915503,0.01825794502645817,200
4,3,-0.0019101894187390617,0.014495948802714436,200
4,4,-0.003192232150710594,0.01190847151932624,200
4,5,-0.00526203279987166,0.008354087199021087,200
4,6,-0.00819237359183152,0.005923734015529184,200
4,7,-0.01169991327294238,0.004629428143952837,200
4,8,-0.014796129008472596,0.0034369627113136044,200
4,9,-0.01615907227887259,0.0024058332823290725,200
