statistic,bin,n_real,frac_at_ell1000,mean_frac_200_1000,err_at_ell1000
standard,1,200,-0.161938890176357,-0.09581322942695732,0.0005218237898891108
standard,2,200,-0.12933161242226832,-0.07237075232247994,0.00040412864531630524
standard,3,200,-0.09294757300178058,-0.049205441611781225,0.0003109943611047367
standard,4,200,-0.07681467348927318,-0.03965657324390367,0.0002723635863255484
BNT,1,200,-0.161938890176357,-0.09581322942695732,0.0005218237898891108
BNT,2,200,-0.09193534245235868,-0.045331092072967906,0.0002924046418687963
BNT,3,200,-0.03302278559436189,-0.013420019086106327,0.00012188744283451707
BNT,4,200,-0.007778799673076486,-0.00278079882909633,4.504673218154533e-05
