config,ell_max,seed_mode,seed_label,n_seeds,sigma_Om,sigma_S8,sigma_w0,fom3_drawn,fom3_seed_avg_cov,tension_mean,tension_std,n_features
BNT_bin1,580,pooled,4 seeds pooled,4,0.016119,0.028116,0.081656,1.656771e+05,1.686545e+05,0.36677,0.07579,96
nonBNT_cutall,580,pooled,5 seeds pooled,5,0.017954,0.032104,0.081809,1.275937e+05,1.284291e+05,0.28254,0.03071,60
BNT_bin1_ref,460,pooled,5 seeds pooled,5,0.016165,0.027385,0.084483,1.620716e+05,1.645731e+05,0.30447,0.09126,92
