label,dir,tag,seed_mode,seed_drawn,n_seeds,sigma_Om,sigma_S8,sigma_w0,r_Om_S8,r_Om_w0,r_S8_w0,det_R,fom3_drawn,fom3_seed_avg_cov
BNT basis,outputs/score_embed_nocut/bnt_r20_c1024,bnt,pooled,5 seeds pooled,5,0.011752,0.020367,0.065414,-0.925787,0.030956,0.316632,0.023556,4.161475e+05,4.278230e+05
standard basis,outputs/score_embed_nocut/nonbnt_r20_c1024,nonbnt,pooled,5 seeds pooled,5,0.011138,0.019451,0.062367,-0.916894,0.025197,0.320375,0.041227,3.644948e+05,4.148344e+05
